FID,feature_id,alt,ascendingI,BtmWdth,ChSlp,from_,gages,Kchan,lat,Length,link,lon,MusK,MusX,n,nCC,NHDWaterbo,order_,Qi,So,to,TopWdth,TopWdthCC
2002961,2002962,81.4,1266829,5.81205,0.428539,8778009,2086849,0,36.0549,3403,933020162,-78.8427,3600,0.2,0.055,0.11,-9999,4,0,0.001,933020161,9.68674,29.0602
2003977,2003978,77.79,1592792,5.81731,0.428368,933020162,NaN,0,36.0584,172,933020161,-78.8266,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,8777905,9.69552,29.0866
1959869,1959870,81.03,1586284,0.86327,0.993951,8778891,NaN,0,36.0763,285,933020126,-78.7749,3600,0.2,0.06,0.12,166737717,1,0,0.01,8777773,1.43878,4.31635
1984249,1984250,77.87,1657531,3.60985,0.528741,166737685,NaN,0,36.0502,2195,933020117,-78.776,3600,0.2,0.06,0.12,166737717,2,0,0.001,166737699,6.01642,18.0493
2018763,2018764,74.69,1283091,16.5771,0.269883,933020109,NaN,0,36.0741,1238,933020115,-78.7831,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737701,27.6286,82.8857
2007243,2007244,75.68,1618738,6.22705,0.415696,166737693,NaN,0,36.0695,1952,933020110,-78.7898,3600,0.2,0.055,0.11,166737717,4,0,0.001,166737701,10.3784,31.1353
1978990,1978991,74.69,1616997,2.32208,0.642359,166737687,NaN,0,36.0782,1173,933020109,-78.7943,3600,0.2,0.06,0.12,166737717,1,0,1.00E-05,933020115,3.87013,11.6104
1959860,1959861,76.34,1667432,1.26321,0.840282,166737715,NaN,0,36.0858,378,933020092,-78.7877,3600,0.2,0.06,0.12,166737717,1,0,4.00E-03,166737706,2.10536,6.31607
1978987,1978988,76.97,1589189,1.28895,0.832839,166737705,NaN,0,36.0871,345,933020091,-78.8107,3600,0.2,0.06,0.12,166737717,1,0,0.002,166737712,2.14825,6.44474
1959859,1959860,76.72,1586280,1.52795,0.772627,166737691,NaN,0,36.0636,100,933020090,-78.8051,3600,0.2,0.06,0.12,166737717,1,0,0.007,166737693,2.54659,7.63976
2019077,2019078,74.69,1238110,17.1452,0.265901,166737699,NaN,0,36.0336,2503,933020089,-78.7503,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737675,28.5753,85.726
1959857,1959858,76.8,1615937,1.73531,0.730443,8777669,NaN,0,36.0872,48,933020083,-78.8288,3600,0.2,0.06,0.12,166737717,1,0,1.00E-05,8777667,2.89219,8.67657
1971516,1971517,77.36,1706389,2.08149,0.674117,8778055,NaN,0,36.0419,17,933020061,-78.7713,3600,0.2,0.06,0.12,166737717,1,0,2.20E-02,166737686,3.46915,10.4074
1984247,1984248,77.99,1671256,2.25295,0.650982,8777951,NaN,0,36.0581,17,933020059,-78.8258,3600,0.2,0.06,0.12,166737717,2,0,0.012,8777905,3.75492,11.2648
2016284,2016285,77.54,1594641,11.6111,0.31579,8777443,NaN,0,36.127,5,933020058,-78.8249,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,8777441,19.3518,58.0553
1991218,1991219,76.58,544744,3.24018,0.554553,8778379,NaN,0,36.0801,1638,933020053,-78.7577,3600,0.2,0.055,0.11,166737717,3,0,0.001,8777785,5.4003,16.2009
1971515,1971516,77.09,1706392,1.15623,0.873738,8777885,NaN,0,36.0609,46,933020050,-78.8101,3600,0.2,0.06,0.12,166737717,1,0,0.005,166737690,1.92704,5.78114
1959847,1959848,77.74,1639216,1.68051,0.740858,8777597,NaN,0,36.1054,2297,933020048,-78.7992,3600,0.2,0.06,0.12,166737717,1,0,0.001,166737704,2.80085,8.40256
1971512,1971513,78.11,1706399,1.62274,0.752381,8777777,NaN,0,36.0843,406,933020041,-78.8288,3600,0.2,0.06,0.12,166737717,1,0,0.003,8777685,2.70456,8.11368
1959841,1959842,77.54,1665921,1.85329,0.709552,8777453,NaN,0,36.127,14,933020036,-78.8248,3600,0.2,0.06,0.12,166737717,1,0,1.00E-05,8777441,3.08881,9.26644
1984245,1984246,75.38,1631017,3.60285,0.529195,8777749,NaN,0,36.0784,383,933020035,-78.7645,3600,0.2,0.06,0.12,166737717,2,0,1.00E-05,8777785,6.00475,18.0142
1978983,1978984,78.12,1616995,2.23121,0.653772,8777735,NaN,0,36.0832,458,933020032,-78.8424,3600,0.2,0.06,0.12,166737717,2,0,0.002,8777733,3.71869,11.1561
1959840,1959841,77.36,1586270,1.7207,0.733173,8777827,NaN,0,36.0713,714,933020029,-78.7634,3600,0.2,0.06,0.12,166737717,1,0,0.003,166737689,2.86784,8.60351
1959839,1959840,77.31,1586269,1.96889,0.690862,8778387,NaN,0,36.0554,809,933020028,-78.7533,3600,0.2,0.06,0.12,166737717,1,0,0.003,166737697,3.28148,9.84444
1971511,1971512,78.13,1706364,1.49897,0.779181,8777437,NaN,0,36.1281,10,933020027,-78.8244,3600,0.2,0.06,0.12,166737717,1,0,0.123,933020016,2.49829,7.49486
2017578,2017579,77.26,1291998,13.3413,0.297018,8777799,NaN,0,36.0769,2065,933020025,-78.8355,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,8777733,22.2356,66.7067
2010964,2010965,77.36,1291751,7.45575,0.383948,8777595,NaN,0,36.1067,3195,933020024,-78.7953,3600,0.2,0.055,0.11,166737717,4,0,1.00E-03,166737704,12.4262,37.2787
1959837,1959838,76.54,1586268,2.04793,0.678968,8777541,NaN,0,36.1204,57,933020023,-78.8166,3600,0.2,0.06,0.12,166737717,1,0,0.005,8777613,3.41322,10.2397
1959836,1959837,77.43,1615936,1.65052,0.746768,8778061,NaN,0,36.0418,28,933020020,-78.7712,3600,0.2,0.06,0.12,166737717,1,0,0.016,166737686,2.75086,8.25259
2016803,2016804,76.26,1267983,11.6484,0.315343,933020016,NaN,0,36.1208,123,933020018,-78.8167,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,8777613,19.4139,58.2418
1959835,1959836,78.51,1630293,0.170739,2.03175,8777469,NaN,0,36.1204,11,933020017,-78.8163,3600,0.2,0.06,0.12,166737717,1,0,0.205,8777613,0.284566,0.853697
2016637,2016638,76.9,1703172,11.6482,0.315345,933020027,NaN,0,36.1266,1454,933020016,-78.8199,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,933020018,19.4136,58.2409
1937131,1937132,82.99,786835,1.01194,0.92666,0,NaN,0,36.0882,466,166737715,-78.7844,3600,0.2,0.06,0.12,-9999,1,0,0.021,933020092,1.68656,5.05969
2018530,2018531,74.89,1346797,15.9753,0.274322,166737713,NaN,0,36.0832,970,166737714,-78.7986,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737707,26.6255,79.8765
2018412,2018413,75.14,1268323,15.9672,0.274383,166737703,NaN,0,36.089,887,166737713,-78.8043,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737714,26.6121,79.8362
1984200,1984201,76.42,1617264,1.50917,0.776853,933020091,NaN,0,36.0864,582,166737712,-78.8063,3600,0.2,0.06,0.12,166737717,1,0,0.003,166737714,2.51529,7.54587
2011732,2011733,75.75,1640351,7.52458,0.382394,166737704,NaN,0,36.0885,1659,166737711,-78.796,3600,0.2,0.055,0.11,166737717,4,0,0.001,166737707,12.541,37.6229
2018644,2018645,74.69,1237941,16.5491,0.270085,166737714,NaN,0,36.0799,652,166737707,-78.7906,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,933020115,27.5818,82.7455
1971432,1971433,74.87,1706189,1.72593,0.732194,933020092,NaN,0,36.0811,764,166737706,-78.7885,3600,0.2,0.06,0.12,166737717,1,0,1.00E-05,933020115,2.87654,8.62963
1971431,1971432,76.97,1706186,1.464,0.787339,0,NaN,0,36.0851,101,166737705,-78.8111,3600,0.2,0.06,0.12,-9999,1,0,1.00E-03,933020091,2.44,7.32
2011356,2011357,75.75,1235830,7.49081,0.383154,933020048,NaN,0,36.0965,147,166737704,-78.7956,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,166737711,12.4847,37.454
2018279,2018280,75.29,1329873,15.965,0.274401,8777667,NaN,0,36.0951,935,166737703,-78.8084,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737713,26.6083,79.8249
2018868,2018869,74.69,1312053,16.9,0.267596,933020115,NaN,0,36.0622,1934,166737701,-78.7733,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,166737699,28.1667,84.5002
2018973,2018974,74.69,1326838,17.0836,0.266324,933020117,NaN,0,36.0498,1701,166737699,-78.7604,3600,0.2,0.05,0.1,166737717,5,0,1.00E-05,933020089,28.4726,85.4178
1971430,1971431,74.69,1706192,2.39262,0.633935,933020028,NaN,0,36.0489,950,166737697,-78.7544,3600,0.2,0.06,0.12,166737717,1,0,1.00E-05,933020089,3.9877,11.9631
1997611,1997612,74.69,1078249,4.55316,0.477268,166737689,NaN,0,36.062,1605,166737696,-78.7665,3600,0.2,0.055,0.11,166737717,3,0,1.00E-05,166737699,7.5886,22.7658
1971429,1971430,75.98,1639381,1.63258,0.750376,933020090,NaN,0,36.065,515,166737693,-78.8025,3600,0.2,0.06,0.12,166737717,1,0,1.00E-03,933020110,2.72097,8.16291
2006527,2006528,75.68,1593593,6.11401,0.419069,166737690,NaN,0,36.0664,231,166737692,-78.801,3600,0.2,0.055,0.11,166737717,4,0,1.00E-05,933020110,10.19,30.5701
1937130,1937131,90.76,786834,1.50452,0.777913,0,NaN,0,36.0571,1352,166737691,-78.8045,3600,0.2,0.06,0.12,-9999,1,0,1.20E-02,933020090,2.50752,7.52258
2005742,2005743,76.84,1650879,6.0853,0.41994,933020050,NaN,0,36.0651,1093,166737690,-78.8074,3600,0.2,0.055,0.11,166737717,4,0,1.00E-03,166737692,10.1422,30.4265
1995802,1995803,74.91,1618031,4.47297,0.481024,933020029,NaN,0,36.0707,411,166737689,-78.7663,3600,0.2,0.055,0.11,166737717,3,0,1.00E-03,166737696,7.45496,22.3649
1971428,1971429,76.97,1706183,2.18254,0.660165,8777713,NaN,0,36.0787,3036,166737687,-78.809,3600,0.2,0.06,0.12,-9999,1,0,1.00E-03,933020109,3.63757,10.9127
1978906,1978907,76.98,1589148,2.6732,0.603668,933020061,NaN,0,36.0499,2335,166737686,-78.7638,3600,0.2,0.06,0.12,166737717,2,0,1.00E-03,933020089,4.45533,13.366
1978905,1978906,81.2,1616982,3.3974,0.543082,8778113,NaN,0,36.0422,1142,166737685,-78.7908,3600,0.2,0.06,0.12,-9999,2,0,3.00E-03,933020117,5.66233,16.987
1959715,1959716,152,1630284,1.47991,0.783593,8776885,NaN,0,36.2725,174,26023819,-78.7884,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8776899,2.46652,7.39955
1906809,1906810,101.94,1336919,2.10499,0.670787,0,NaN,0,35.9953,1197,8782399,-78.8849,3600,0.2,0.06,0.12,-9999,1,0,4.00E-03,8778301,3.50831,10.5249
1973308,1973309,117.37,1616395,3.24162,0.554445,8780639,NaN,0,36.0425,168,8780853,-78.9997,3600,0.2,0.06,0.12,-9999,2,0,1.00E-05,8778027,5.4027,16.2081
1943229,1943230,170.64,841707,2.93524,0.57927,8780377,NaN,0,36.1902,76,8780851,-78.9997,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8777211,4.89207,14.6762
1991803,1991804,172.09,545053,4.86225,0.463637,8780249,NaN,0,36.3268,96,8780849,-78.9997,3600,0.2,0.055,0.11,-9999,3,0,1.00E-05,8776779,8.10376,24.3113
1973307,1973308,179.95,1686179,2.16988,0.661861,8776717,NaN,0,36.3448,117,8780847,-79.0003,3600,0.2,0.06,0.12,-9999,2,0,1.00E-05,8780245,3.61647,10.8494
1973306,1973307,182.8,1587381,2.56426,0.614851,8776685,NaN,0,36.3518,376,8780845,-79.0016,3600,0.2,0.06,0.12,-9999,2,0,0.001,8780839,4.27377,12.8213
1906799,1906800,198.29,1337452,1.13825,0.8798,0,NaN,0,36.3318,263,8780843,-79.0418,3600,0.2,0.06,0.12,-9999,1,0,0.007,8780243,1.89708,5.69125
1906798,1906799,198.26,1337451,1.01468,0.925553,0,NaN,0,36.355,148,8780841,-79.0367,3600,0.2,0.06,0.12,-9999,1,0,3.30E-02,8780237,1.69114,5.07342
1980234,1980235,182.31,891186,2.98841,0.574701,8780845,NaN,0,36.3478,796,8780839,-79.0023,3600,0.2,0.06,0.12,-9999,2,0,3.00E-03,8780245,4.98068,14.942
1906797,1906798,185.1,1281870,2.03217,0.681286,0,NaN,0,36.353,631,8780837,-79.0058,3600,0.2,0.06,0.12,-9999,1,0,6.00E-03,8780839,3.38695,10.1609
1906796,1906797,157.7,1265772,1.46931,0.786083,0,NaN,0,36.0197,328,8780835,-79.0667,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780663,2.44885,7.34654
1906795,1906796,201.5,1337325,1.69073,0.738878,0,NaN,0,36.0395,368,8780833,-79.1976,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780631,2.81789,8.45367
1906794,1906795,153.15,1306322,0.615772,1.15371,0,NaN,0,36.0213,154,8780831,-79.0366,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780661,1.02629,3.07886
1906793,1906794,199.91,1302536,0.918477,0.967137,0,NaN,0,36.0388,196,8780829,-79.1454,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780637,1.53079,4.59238
1906792,1906793,193.36,1265771,1.464,0.787339,0,NaN,0,36.04,171,8780827,-79.1403,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780633,2.44,7.32
1906791,1906792,178.34,1265770,1.42675,0.796342,0,NaN,0,36.0521,181,8780825,-79.0713,3600,0.2,0.06,0.12,-9999,1,0,0.008,8780653,2.37792,7.13376
1906790,1906791,128.07,1265769,1.16397,0.87117,0,NaN,0,36.047,227,8780823,-79.0074,3600,0.2,0.06,0.12,-9999,1,0,0.022,8780613,1.93995,5.81984
1906789,1906790,191.78,1232797,0.848022,1.0018,0,NaN,0,36.0897,179,8780821,-79.1732,3600,0.2,0.06,0.12,-9999,1,0,0.066,8780545,1.41337,4.24011
1906788,1906789,183,1232796,1.4572,0.788958,0,NaN,0,36.0848,179,8780819,-79.1192,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780573,2.42867,7.286
1906787,1906788,204.53,1232795,0.732569,1.06861,0,NaN,0,36.1016,170,8780817,-79.1767,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780529,1.22095,3.66285
1906786,1906787,183.29,1265768,1.47241,0.78535,0,NaN,0,36.1018,326,8780815,-79.1307,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780525,2.45402,7.36207
1906785,1906786,173.11,1232794,1.03702,0.916705,0,NaN,0,36.1085,210,8780813,-79.0822,3600,0.2,0.06,0.12,-9999,1,0,0.036,8780495,1.72837,5.1851
1906784,1906785,197.41,1291336,1.15481,0.874211,0,NaN,0,36.1358,170,8780811,-79.1104,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780465,1.92468,5.77404
